Using SSH key from file C:\Users\KNALHOME\.ssh\id_ed25519_railway.pub: railway-backup-temp
Pager usage is off.
  id   |     part_code      |   erp_shrp_code    |   customer_part_no   | active | cavity_count | canon_cavity | part_weight_g | canon_weight | hist_total |          classification          |                                              reason                                              
    68 | 9AA                | 9AA                | VPR230WC9AA01        | t      |            4 |            4 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    74 | SHRP-T7            | SHRP-T7            | SHRP-T7              | t      |            2 |            2 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    75 | SHRP-T10           | SHRP-T10           | SHRP-T10             | t      |            2 |            2 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    76 | SHRP-T8            | SHRP-T8            | SHRP-T8              | t      |            2 |            2 |          2.21 |         2.21 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    80 | NA-TB              | NA-TB              | WC-SCP-SC21NA-TB-T01 | t      |            4 |            4 |          3.61 |         3.61 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    81 | LMF                | LMF                | WC-SCP-ECC21-LMF01   | t      |            2 |            2 |          2.05 |         2.05 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    82 | SMF                | SMF                | WC-SCP-ECC21-SMF01   | t      |            2 |            2 |          2.73 |         2.73 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    85 | DA                 | DA                 | WC-SCP-ECC21-DA01    | t      |            2 |            2 |          2.37 |         2.37 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    88 | SmallGrommet       |                    | SmallGrommet         | t      |            4 |            4 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    89 | VP6T               | VP6T               | VP6TLU11N087AA       | t      |           16 |           16 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    91 | HandlePlastic      |                    | HandlePlastic        | t      |            1 |            1 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
    92 | SYRINGE CAP        | SYRINGE CAP        | SYRNGECAP            | t      |           12 |           12 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  6559 | LMM                | LMM                | WC-SCP-eCC21-Lmm01   | t      |            2 |            2 |             0 |            0 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  8962 | SULLA              | SULLA              | FC1F2SULLA01         | t      |            4 |            4 |          2.62 |         2.62 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  8964 | UMEAB              | UMEAB              | FC1F2UMEAB01         | t      |            6 |            6 |          1.69 |         1.69 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  8998 | F390               | F390               | F390-QQDC-A02        | t      |            4 |            4 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  9002 | SMM                | SMM                | WC-SCP-eCC21-Smm01   | t      |            6 |            6 |          2.48 |         2.48 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  9006 | KQ NEW             | KQ NEW             | F442-KQ              | t      |            1 |              |             0 |            0 |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
  9015 | R101               | R101               | R101WC9AA01          | t      |            4 |            4 |             0 |              |          0 | CANONICAL_KEEP_UPDATE_NO_HISTORY | Matches ERP part, zero history, sole matching row - kept as-is
(75 rows)

warning: Config as Code (railway.json / railway.toml) is deprecated. Prefer Infrastructure as Code (.railway/railway.ts). Run `railway config migrate` or see https://docs.railway.com/infrastructure-as-code#migrating-from-config-as-code
  → Migrate: `railway config migrate` — https://docs.railway.com/infrastructure-as-code#migrating-from-config-as-code
  Existing files keep working until 2026-12-01.
